REVNET_1000;_TYPE_;_FREQ_;t_revdisp;t_minima;t_pf_condress;t_pf_sansress;t_af;t_alog;t_prelev
;0;56141;80,50436119;-1,564229106;0,486199183;0,015310261;0;-2,560525032;-15,87239412
0;1;98;245,6209483;-20,62752049;168,3349588;0;0;0;-2,086490013
1;1;229;51,41399136;-46,02958018;0;0;0;0;-2,556428468
2;1;214;55,21743402;-44,07872538;2,049818184;0;0;0;-2,753658789
3;1;220;64,61819104;-39,14944406;6,838436289;0;0;0;-3,070801184
4;1;222;73,6771857;-37,15222932;0,138831908;0;0;-0,284951656;10,97553476
5;1;208;69,32416471;-31,99963437;8,344834222;0;0;-3,52127329;-3,49976185
6;1;279;66,44028346;-24,36401773;3,041024531;0;0;-8,438712343;-3,798010991
7;1;339;67,61014629;-19,05994211;2,685328937;0;0;-10,19359345;-5,821647089
8;1;400;69,29646963;-17,80679338;1,453726539;0;0;-9,728990663;-4,621472861
9;1;442;73,78623381;-14,47721922;2,736920789;0;0;-12,3391841;-2,13428367
10;1;480;72,71567216;-10,28551682;1,333848817;0;0;-15,27618899;-3,056470846
11;1;472;71,84945905;-9,347788613;0,772470038;0;0;-16,70762763;-2,867594746
12;1;577;76,58465381;-7,393480959;0,921642329;0;0;-15,03192891;-1,911578652
13;1;641;74,73605423;-5,689505385;1,259630437;0;0;-13,02145736;-7,812613466
14;1;730;73,17376755;-5,720571504;2,182929748;0;0;-11,99092031;-11,29767039
15;1;797;74,04502918;-4,700127769;0,920081415;0;0;-7,596364992;-14,57855948
16;1;915;74,57185714;-4,106049779;0,698886583;0;0;-6,959531753;-15,06144792
17;1;1025;70,30023606;-3,323416965;1,797663141;0;0;-7,789165078;-20,38484504
18;1;1118;74,27238777;-2,437502432;0,244951455;0;0;-6,189052832;-17,34600842
19;1;1118;79,35627516;-2,318428041;0,690280806;0;0;-5,816685582;-13,19889202
20;1;1086;81,00589769;-1,635086052;0,433131727;0;0;-5,251064619;-12,54108336
21;1;1155;82,28338995;-1,531847205;0,072542252;0;0;-3,797942458;-12,45936264
22;1;1124;84,17856609;-0,190302065;0,757171102;0;0;-4,151464791;-12,23683815
23;1;1060;82,59571458;-2,078449755;1,187072525;0;0;-3,554781093;-12,9581271
24;1;1099;83,07632049;-1,634526024;0,719909555;0;0;-3,646760877;-12,36230216
25;1;1033;83,77050481;-1,514684026;-0,032493925;0;0;-3,1206935;-11,56162374
26;1;1008;82,31250568;-1,253532819;0,180542441;0;0;-3,312313942;-13,30219
27;1;1021;84,26179052;-1,584460678;-0,673872075;0;0;-2,411423485;-11,06845324
28;1;989;97,44726562;12,54016801;-0,11135855;0;0;-2,546793755;-12,43475009
29;1;1050;82,70298969;-1,156530869;0,444133663;0;0;-3,067254535;-13,51735857
30;1;1052;82,59402502;0,823909069;0,03574879;0;0;-1,912033603;-16,35359924
31;1;1052;82,24329765;-1,165810578;0,137878945;0;0;-1,9590156;-14,76975511
32;1;1028;83,48884;3,920235036;0,015619885;0;0;-1,604751252;-18,84226367
33;1;1100;78,956933;-1,171013119;-1,483660055;0;0;-1,021923681;-17,36647014
34;1;1016;80,13743485;-0,687193081;-0,095274618;0;0;-1,209389162;-17,87070829
35;1;1017;79,48450017;-0,674396456;0,265403498;0;0;-1,004095768;-19,1024111
36;1;1033;84,61422518;-0,547997569;-0,58527104;0;0;-0,825950426;-13,42655579
37;1;1062;79,76910099;-1,139014596;-0,52826411;0;0;-0,71224734;-17,85137296
38;1;1011;80,96778687;-0,881354638;-0,317700068;0;0;-0,370630955;-17,46252747
39;1;973;81,20227993;-0,257430864;-0,547297544;0;0;-0,365441985;-17,62754967
40;1;942;83,83066268;-1,285659082;2,474383066;0;0;-0,343822872;-17,01423843
41;1;929;81,10233309;-0,300704056;-1,067624384;0;0;-0,545013024;-16,98432544
42;1;891;81,03006074;-1,279312602;-0,382180873;0;0;-0,402191959;-16,90625382
43;1;841;81,37348538;-0,139358792;-0,600315298;0;0;-0,346584106;-17,54025642
44;1;889;82,1116229;-0,614528432;-0,096025974;0;0;-0,484509358;-16,69331334
45;1;824;81,6432029;-0,403279619;-0,626736764;0;0;-0,541744471;-16,78503625
46;1;819;94,48998218;12,29682948;-0,095275447;0;0;-0,1466891;-17,56488275
47;1;774;83,34980681;-0,196352891;-0,361641484;0;0;-0,042022246;-16,05017657
48;1;765;82,97612014;-0,075091549;-1,266028998;0,747406627;0;-0,269699979;-16,16046596
49;1;713;82,88527262;-0,290761736;-0,356679354;0;0;-0,200990071;-16,26629622
50;1;637;101,2266454;18,69194312;-0,092043083;0;0;-0,028272523;-17,3449821
51;1;653;82,47052298;1,194177434;-0,887879634;-0,199362766;0;-0,053742382;-17,58266968
52;1;589;81,99232762;-0,501349399;-0,832870855;0;0;-0,039911065;-16,63354107
53;1;574;82,13846206;0,006470013;-0,739512322;0;0;-0,091308561;-17,03718707
54;1;552;81,41342642;-0,139928516;-0,673732188;0;0;-0,155516468;-17,6173964
55;1;526;82,83788214;-0,115441261;-0,020817192;0;0;-0,100158686;-16,92570072
56;1;483;82,96443129;-0,341815087;0;0;0;-0,352066192;-16,34168743
57;1;469;85,49193037;-0,128338685;0,074777289;0;0;0,061187757;-14,51569599
58;1;501;84,41896197;1,704506421;-0,390577007;0;0;-0,110926333;-16,78404111
59;1;468;83,09757311;0,011581043;0,210539736;0;0;-0,143603712;-16,98094395
60;1;374;82,7201497;-0,195770443;-0,491129202;0;0;-0,078153667;-16,51479699
61;1;406;81,87779388;-0,072363135;-0,121559397;0;0;-0,008201017;-17,92008257
62;1;387;81,23542985;-0,075599996;-0,161124252;0;0;-0,116775114;-18,41107079
63;1;354;80,66064278;-0,386202043;-0,251843626;0;0;0,07311719;-18,77442874
64;1;353;81,10568351;-0,309701388;-0,004979217;0;0;-0,021714924;-18,55792096
65;1;340;80,36313694;-0,042735268;-0,377456333;-0,408695875;0;0,003075992;-18,81105158
66;1;304;79,87065819;-0,248541349;-1,841524245;1,841524245;0;0,002568786;-19,88336925
67;1;286;80,81498073;-0,500325987;0;0;0;0,006071215;-18,6907645
68;1;293;79,19247457;-0,069431514;-1,675929491;0;0;-0,056270666;-19,00589376
69;1;298;81,5236156;0;-0,016556019;0;0;0;-18,45982839
70;1;237;79,99401983;0;-0,356889947;0;0;0;-19,64909022
71;1;264;79,11008176;-0,173504322;0;0;0;-0,020736828;-20,69567709
72;1;255;78,99749885;-0,378050826;-0,131295211;0;0;-0,014599152;-20,47855596
73;1;207;80,05122151;0;-0,094922271;0;0;0;-19,85385622
74;1;248;78,34872844;0;0;0;0;-0,099857387;-21,55141418
75;1;211;83,06357787;2,69211496;0,564609005;0;0;-0,335048645;-19,85809745
76;1;208;78,14167645;-0,135722727;0;0;0;-0,016863825;-21,705737
77;1;181;79,43593388;0;0;0;0;0;-20,56406612
78;1;168;78,91084776;0;0;0;0;0;-21,08915224
79;1;176;77,5868917;0;-0,49544555;0;0;0;-21,91766275
80;1;165;76,95190421;-0,338180785;-0,330777668;0;0;0;-22,37913734
81;1;158;77,96458195;0;0;0;0;-0,28383274;-21,75158531
82;1;177;79,20728635;-0,369028264;0;0;0;0,004522333;-20,42820771
83;1;150;87,5160161;8,819388664;0;0;0;0;-21,30337257
84;1;149;78,79786543;0;0;0;0;0;-21,20213457
85;1;126;92,08795609;15,16534599;0;0;0;-0,199188897;-22,878201
86;1;127;76,6132603;0;0;0;0;0;-23,3867397
87;1;107;77,1091138;0;0;0;0;0;-22,8908862
88;1;116;76,63207742;0;0;0;0;0;-23,36792258
89;1;106;76,39004948;0;0;0;0;0;-23,60995052
90;1;135;76,19550625;0;0;0;0;0;-23,80449375
91;1;84;75,76286626;-0,14694333;0;0;0;0;-24,09019041
92;1;88;83,80066426;0;0;0;0;0;-16,19933574
93;1;83;77,45660322;0;0;0;0;0;-22,54339678
94;1;99;76,37511653;0;-0,587839412;0;0;0;-23,03704406
95;1;89;73,16540364;0;0;0;0;0;-26,83459636
96;1;94;74,38912238;0;0;0;0;0;-25,61087762
97;1;81;72,29804533;0;0;0;0;0;-27,70195467
98;1;92;76,15182095;0;0;0;0;0;-23,84817905
99;1;81;74,32331522;0;-1,959442493;0;0;0;-23,71724229
100;1;62;75,89724951;0;0;0;0;0;-24,10275049
101;1;68;75,91091575;0;0;0;0;0;-24,08908425
102;1;76;73,48993648;0;0;0;0;0;-26,51006352
103;1;68;76,97878269;0;0;0;0;0;-23,02121731
104;1;73;72,55243608;0;0;0;0;0;-27,44756392
105;1;84;72,66586161;-0,334468005;0;0;0;0;-26,99967039
106;1;54;74,29334042;0;0;0;0;0;-25,70665958
107;1;61;72,54751054;0;0;0;0;0;-27,45248946
108;1;72;72,35748801;-1,09597863;0;0;0;0;-26,54653336
109;1;60;73,93241446;0;0;0;0;0;-26,06758554
110;1;49;74,55952664;0;0;0;0;0;-25,44047336
111;1;48;74,09993647;0;0;0;0;0;-25,90006353
112;1;61;73,74010341;0;0;0;0;0;-26,25989659
113;1;49;71,86286836;0;0;0;0;0;-28,13713164
114;1;32;75,43470687;0;0;0;0;0;-24,56529313
115;1;45;71,40182917;0;0;0;0;0;-28,59817083
116;1;46;73,29295622;-1,083551642;0;0;0;0;-25,62349213
117;1;34;75,8667962;0;0;0;0;0;-24,1332038
118;1;44;73,82405464;0;0;0;0;0;-26,17594536
119;1;49;72,47264724;0;0;0;0;0;-27,52735276
120;1;53;74,72889307;0;0;0;0;0;-25,27110693
121;1;29;73,58283478;0;0;0;0;0;-26,41716522
122;1;42;70,94388948;0;0;0;0;0;-29,05611052
123;1;39;76,7391432;0;0;0;0;0;-23,2608568
124;1;36;70,92879681;0;0;0;0;0;-29,07120319
125;1;40;72,364367;0;0;0;0;0;-27,635633
126;1;37;72,67172676;0;0;0;0;0;-27,32827324
127;1;31;73,47674323;0;0;0;0;0;-26,52325677
128;1;33;70,67410969;0;0;0;0;0;-29,32589031
129;1;27;69,24551368;-0,863140279;0;0;0;0;-29,89134604
130;1;34;71,61834953;0;0;0;0;0;-28,38165047
131;1;23;72,60358524;0;0;0;0;0;-27,39641476
132;1;27;72,23847465;0;0;0;0;0;-27,76152535
133;1;22;70,06806409;0;0;0;0;0;-29,93193591
134;1;34;71,08804282;0;0;0;0;0;-28,91195718
135;1;23;64,63248664;0;0;0;0;0;-35,36751336
136;1;29;72,01207689;0;-0,435831441;0;0;0;-27,55209167
137;1;29;70,44847453;0;0;0;0;0;-29,55152547
138;1;25;294,3290055;222,2677721;0;0;0;0;-27,93876659
139;1;18;71,92695339;0;0;0;0;0;-28,07304661
140;1;23;70,04124795;0;0;0;0;0;-29,95875205
141;1;16;68,53593298;-2,09334748;0;0;0;0;-29,37071954
142;1;18;70,93637264;0;0;0;0;0;-29,06362736
143;1;20;66,58667726;0;0;0;0;0;-33,41332274
144;1;27;71,71126818;-0,012653288;0;0;0;0;-28,27607854
145;1;15;71,85431504;0;-4,602750303;0;0;0;-23,54293466
