_NAME_;Max;Mean;Median;Min;P5;P95;StdDev
d_revdisp;20345,68338;183,6714755;169,9417588;-11668,57671;6,602872434;444,9987314;234,8391119
d_revnet;22090,83594;223,7415354;192,2099609;-0,139984131;12,77999878;525,1999264;239,4560379
d_prelev_pat;0;0;0;0;0;0;0
d_csgi;0;-6,300953691;-5,409860381;-768,2530702;-14,61402637;-0,228355917;8,444025918
d_impot;39;-22,9183637;0;-5349;-97;0;73,80500159
d_prelevlib;0;-0,001130512;0;-3,858399316;0;0;0,041601484
d_th;0;0;0;0;0;0;0
d_crds_ar;0;-1,30532455;-1,127250184;-116,4056125;-3,045988256;-0,047574149;1,447919435
d_crds_p;24,525;0,017760422;0;-2,53;0;0,11;0,244198007
d_af;0;-0,046864871;0;-2275;0;0;8,854643097
d_com;20;-0,200994747;0;-1974;0;0;11,38381279
d_asf;0;0;0;0;0;0;0
d_aeeh;0;0;0;0;0;0;0
d_ars;109;-0,33696211;0;-403;0;0;8,234188928
d_paje;0;-0,332748407;0;-2723;0;0;25,41388847
d_clca;2178;0,038549234;0;0;0;0;8,430587674
d_cmg;0;-0,217447189;0;-2727;0;0;17,46022174
d_creche;0;0;0;0;0;0;0
d_alogl;506;-2,417067173;0;-2847;-19;0;18,95068729
d_alogacc;0;0;0;0;0;0;0
d_aah;123,08;-0,416430088;0;-1197,06;0;0;9,678495281
d_caah;0;0;0;0;0;0;0
d_asi;0;-0,013267017;0;-122;0;0;0,929780723
d_aspa;0;-0,030669498;0;-193;0;0;1,552941355
d_rsas;10948;-0,853146306;0;-4976;0;0;85,94677681
d_rsanonrec;300;-1,069777579;0;-2436;0;0;23,43817808
d_pper;1002;-2,015971834;0;-1636;-28;0;23,76398917
d_bcol;0;-0,036772102;0;-162;0;0;2,005901217
d_blyc;434;-0,060713088;0;-910;0;0;14,24721111
d_apa;0;-1,551765099;0;-11806,58381;0;0;100,0178238
