_NAME_;Max;Mean;Median;Min;P5;P95;StdDev
r_revdisp;5,562538854;0,004300312;0,004144365;-0,47480056;0,000214933;0,009162644;0,020963166
r_revnet;5,375;0,005316452;0,004875598;-0,419162326;0,000455468;0,009975993;0,026046602
r_prelev_pat;0;0;0;0;0;0;0
r_csgi;9999;0,105459569;-0,005516841;-11,39479179;-0,010142217;-0,000496796;33,42862697
r_impot;9999;30,72381369;0;-5,6;-0,061032864;0;553,5012641
r_prelevlib;0;-1,48596E-05;0;-0,038240733;0;0;0,000424922
r_th;0;0;0;0;0;0;0
r_crds_ar;0;-0,005998171;-0,005407117;-4,569281975;-0,010084767;-0,000440926;0,021630668
r_crds_p;9999;0,114199376;0;-0,352331606;0;0,004583214;33,42858073
r_af;0;-1,78057E-05;0;-1;0;0;0,003625249
r_com;0,050251256;-0,00025353;0;-1;0;0;0,012489535
r_asf;0;0;0;0;0;0;0
r_aeeh;0;0;0;0;0;0;0
r_ars;0,990909091;-0,001311917;0;-1;0;0;0,032861623
r_paje;0;-0,000201185;0;-1;0;0;0,014182614
r_clca;1,276104418;2,85155E-05;0;0;0;0;0,006031176
r_cmg;0;-3,5681E-05;0;-0,230055659;0;0;0,002484787
r_creche;0;0;0;0;0;0;0
r_alogl;9999;0,332485529;0;-1;-0,007651715;0;57,8993663
r_alogacc;0;0;0;0;0;0;0
r_aah;9999;0,111497879;0;-1;0;0;33,42857699
r_caah;0;0;0;0;0;0;0
r_asi;0;-1,88493E-05;0;-0,59;0;0;0,002334174
r_aspa;0;-6,17651E-05;0;-1;0;0;0,006456799
r_rsas;9999;2,234599937;0;-1;0;0;149,4813337
r_rsanonrec;0,726775956;-0,002183191;0;-1;0;0;0,030384518
r_pper;9999;12,842998;0;-1;-0,05338809;0;358,2534013
r_bcol;0;-0,000345519;0;-1;0;0;0,018234784
r_blyc;1,643939394;0,000196845;0;-1;0;0;0,032063582
r_apa;0;0;0;0;0;0;0
