REVNET_1000;_TYPE_;_FREQ_;t_revdisp;t_minima;t_pf_condress;t_pf_sansress;t_af;t_alog;t_prelev
;0;88479;49,0479792;-0,737939761;0,358653291;0,007403348;0;-1,169552732;-6,955766961
0;1;104;150,5134938;-12,85608182;94,41743396;0;0;0;-1,395266303
1;1;247;37,46269066;-29,93833891;0;0;0;0;-1,510016322
2;1;227;39,70298236;-29,06292333;1,126438139;0;0;0;-1,706878821
3;1;229;40,17698285;-25,10482773;3,854258187;0;0;0;-1,815666258
4;1;236;48,31575179;-23,18664875;0,11252545;0;0;-0,211748078;6,008058532
5;1;231;40,78628482;-20,33998751;4,400824015;0;0;-2,158449765;-1,728032813
6;1;299;41,45530127;-13,72019228;1,713920094;0;0;-5,391742658;-2,112508034
7;1;363;43,34192117;-11,51505261;2,294372727;0;0;-6,032769063;-3,087616744
8;1;433;42,23769946;-11,00353287;0,804290307;0;0;-5,67624726;-2,575619031
9;1;485;43,87669379;-8,777170606;1,238062809;0;0;-6,776017497;-1,122768059
10;1;527;44,55861698;-6,320718275;0,673944941;0;0;-9,048673737;-1,30227839
11;1;518;42,82728737;-5,531552538;0,490907509;0;0;-9,332184753;-1,716370096
12;1;644;47,50615828;-4,300850245;1,661736285;0;0;-8,602388534;-1,033206449
13;1;708;44,65116317;-3,577987766;0,936866785;0;0;-7,353302078;-4,349003293
14;1;814;41,09703185;-3,167532511;0,891560405;0;0;-6,233451437;-6,462687008
15;1;887;41,29430931;-2,8329969;0,914652118;0;0;-3,518724238;-7,074206373
16;1;1046;42,53476052;-0,740269641;0,345611368;0;0;-3,063351492;-6,947557085
17;1;1161;37,58358782;-1,783731995;0,925107561;0;0;-3,609844729;-9,894304128
18;1;1295;39,49394163;-1,38544452;0,137265908;0;0;-2,727762499;-8,765460199
19;1;1301;42,51983203;-1,163807448;0,234582539;0;0;-2,506099161;-6,524833926
20;1;1285;43,68107143;-0,896844506;0,172085301;0;0;-2,111642766;-5,992336861
21;1;1406;46,82295189;-0,727146339;1,23842579;0;0;-1,581900942;-6,121448942
22;1;1401;47,69079044;-0,006339671;0,287562918;0;0;-1,703663958;-6,164246817
23;1;1347;47,38029378;-1,125147924;0,301249709;0;0;-1,41877613;-6,56677609
24;1;1405;48,32895292;-0,694223023;0,562742179;0;0;-1,459801473;-6,327690411
25;1;1373;49,991207;-0,552676582;-0,010255375;0;0;-1,077932642;-5,692021713
26;1;1367;49,41209827;-0,678458879;0,385063789;0;0;-1,223886339;-6,605284383
27;1;1425;49,99079031;-0,666244483;-0,511305545;0;0;-0,776576791;-5,89767884
28;1;1389;63,73853638;13,08946574;-0,04611787;0;0;-0,804107569;-5,664572439
29;1;1536;49,72223098;-0,556816093;0,370654228;0;0;-0,897842425;-6,585985446
30;1;1602;49,1057093;0,219975457;-0,114830137;0;0;-0,55878624;-7,294127515
31;1;1596;48,06715181;-0,451164636;0,113829806;0;0;-0,585019951;-7,247053611
32;1;1591;51,13258094;3,985562182;0,021185543;0;0;-0,399904672;-8,210170944
33;1;1749;47,15684538;-0,514443945;-0,711884471;0;0;-0,353646833;-7,651103127
34;1;1646;47,64838833;-0,399658692;0,108903857;0;0;-0,25731064;-7,800487535
35;1;1688;47,62690258;-0,264798296;0,254938874;0;0;-0,27038766;-8,008382829
36;1;1738;49,1863547;-0,256361611;-0,136842538;0;0;-0,158998908;-5,725141822
37;1;1779;47,7815768;-0,212742146;-0,048606371;0;0;-0,190023033;-7,612448576
38;1;1744;48,1990196;-0,260648208;0,277514223;0;0;-0,072747809;-7,214462826
39;1;1652;47,81150308;-0,166214748;-0,205072895;0;0;-0,072221061;-7,277356107
40;1;1633;48,81071311;-0,628182973;0,677158311;0;0;-0,085478735;-7,050840815
41;1;1645;49,27103512;0,055146574;-0,304817128;0;0;-0,070119932;-6,938014913
42;1;1590;48,7926888;-0,462850834;0,01833849;0;0;-0,086670546;-7,032764002
43;1;1488;48,55926379;-0,188355483;-0,311114198;0;0;-0,086045709;-7,214991168
44;1;1549;49,29329529;-0,370347768;-0,020084754;0;0;-0,158107727;-7,056285761
45;1;1480;49,53894973;-0,098993933;-0,290132384;0;0;-0,111186734;-7,10968061
46;1;1479;57,25118891;7,044762274;-0,020646225;0;0;-0,041086856;-7,384557094
47;1;1410;50,46465379;-0,073866628;-0,112678451;0;0;-0,003802155;-6,547033985
48;1;1399;50,44187108;-0,080278034;-0,587591415;0,431389983;0;-0,092877926;-6,487802496
49;1;1319;50,33887035;-0,071681148;-0,087927278;0;0;-0,087972069;-6,505584872
50;1;1184;61,53859892;10,66108409;-0,039196773;0;0;-0,009712136;-6,914686675
51;1;1205;51,04556851;0,802649206;-0,240309367;-0,056183365;0;-0,005094891;-7,493196494
52;1;1121;50,63732759;-0,296317683;-0,263884553;0;0;0,020071206;-6,656622957
53;1;1081;51,27188206;-0,00016377;-0,24978729;0;0;-0,01313512;-7,076353714
54;1;1027;50,67871992;-0,039390489;-0,233769291;0;0;-0,035903393;-7,219905947
55;1;961;51,32537104;-0,072800682;-0,014550819;0;0;-0,028208315;-7,04298636
56;1;928;52,10794301;-0,244306277;0;0;0;-0,084609225;-6,450896008
57;1;884;52,60985938;-0,118798948;0,030913959;0;0;0,021876202;-6,60692319
58;1;956;54,33485348;1,787851061;-0,109617937;0;0;-0,035544078;-6,43885202
59;1;899;51,82171685;-0,065143188;0,104339125;0;0;-0,01040017;-7,014349768
60;1;754;52,47732981;0,058556242;-0,129109966;0;0;-0,015528794;-6,444799754
61;1;778;52,05443107;-0,246333339;-0,036513496;0;0;0,000855162;-6,944248615
62;1;753;51,78789164;-0,062330376;-0,106742861;0;0;-0,028649703;-7,486882673
63;1;695;50,86240348;-0,132522761;-0,077441186;0;0;0,020606701;-7,796602614
64;1;689;51,62397548;-0,250004547;-0,001382641;0;0;4,18969E-05;-7,438784659
65;1;667;51,38758401;-0,025473737;-0,116114461;-0,117587211;0;0,000905443;-7,514504932
66;1;573;51,25094029;-0,102714549;-0,566808547;0,566808547;0;0,000753313;-8,437558571
67;1;554;51,35262578;-0,270538218;0;0;0;0,002254724;-7,345833166
68;1;566;52,10672182;-0,014022111;-0,431754027;0;0;-0,031319525;-8,315150995
