_NAME_;Max;Mean;Median;Min;P5;P95;StdDev
t_revdisp;596,9316414;41,72068243;78,47545794;-4416,178908;10,19709167;90,75019743;292,2613305
t_revnet;100;100;100;100;100;100;0
t_prelev_pat;0;0;0;0;0;0;0
t_csgi;415,7864513;-1,784617759;-2,727383296;-8,804026453;-2,923439793;-2,471258877;19,86599073
t_impot;6,241558026;-15,80775771;-14,71161983;-47,88767961;-40,11065865;0;10,2076138
t_prelevlib;0;-0,00101447;0;-0,117855378;-0,004553764;0;0,006465725
t_th;0;0;0;0;0;0;0
t_crds_ar;86,62217736;-0,368581335;-0,568185046;-1,179470193;-0,606632545;-0,514845599;4,138127049
t_crds_p;0,135685211;0,003256679;0;-0,000150538;0;0,01399087;0,012878414
t_af;0;-0,006724716;0;-1,377449424;0;0;0,084705116
t_com;0;-0,024172474;0;-1,994978462;-0,086116944;0;0,161343787
t_asf;0;0;0;0;0;0;0
t_aeeh;0;0;0;0;0;0;0
t_ars;0,029887284;-0,079149305;0;-27,1370423;-0,131075148;0;1,290383456
t_paje;0;-0,028349981;0;-3,337302139;0;0;0,20914507
t_clca;0,937701787;0,003012058;0;0;0;0;0,048107487
t_cmg;0;-0,020875237;0;-4,178522926;0;0;0,215529815
t_creche;0;0;0;0;0;0;0
t_alogl;0,05623804;-0,492064067;0;-17,10595977;-2,156821389;0;2,187798489
t_alogacc;0;0;0;0;0;0;0
t_aah;1,077443831;-0,096775602;0;-4,026537304;-0,60037587;0;0,398173367
t_caah;0;0;0;0;0;0;0
t_asi;0;-0,026464509;0;-5,640243649;0;0;0,301338343
t_aspa;0;-0,0303692;0;-2,323097225;-0,049740363;0;0,187603026
t_rsas;212,4661996;-21,05690038;0;-2950,334048;-50,85821386;0;178,9758467
t_rsanonrec;32,91278196;-4,399346275;0;-1549,29602;-4,485706179;0;73,85049929
t_pper;71,39546839;0,068105564;0;-18,84658963;-2,611160584;0,453352038;4,328710102
t_bcol;0;-0,007741189;0;-1,472701334;0;0;0,076860472
t_blyc;56,83082067;-0,214129046;0;-67,76142971;-0,317417168;0,058796788;4,686725024
t_apa;0;-13,90865861;0;-2902,206975;0;0;165,9500504
